date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:58:40	75514/75514	---MCZ	200	added ('OK')	text/html	etag:W/%228deb3e214d5eb9d48ab93577387f7593%22	https://learnplus.demo.frontendmatter.com/instructor-dashboard.html	C:/Users/Orange/Desktop/AdminDashboad/AdminDashboard/learnplus.demo.frontendmatter.com/instructor-dashboard.html	(from )
22:58:40	548/548	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Jul%202024%2019:58:39%20GMT	https://learnplus.demo.frontendmatter.com/robots.txt		(from )
22:58:41	2598/2598	---MCZ	200	added ('OK')	text/css	etag:W/%226f36b1309fbbde634a5d54dd1734274a%22	https://learnplus.demo.frontendmatter.com/assets/vendor/perfect-scrollbar.css	C:/Users/Orange/Desktop/AdminDashboad/AdminDashboard/learnplus.demo.frontendmatter.com/assets/vendor/perfect-scrollbar.css	(from https://learnplus.demo.frontendmatter.com/instructor-dashboard.html)
22:58:41	66490/66490	---MCZ	200	added ('OK')	text/css	etag:W/%22a1ca9d48bb1dd404f60ad2ec0f9d79e9%22	https://learnplus.demo.frontendmatter.com/assets/css/material-icons.css	C:/Users/Orange/Desktop/AdminDashboad/AdminDashboard/learnplus.demo.frontendmatter.com/assets/css/material-icons.css	(from https://learnplus.demo.frontendmatter.com/instructor-dashboard.html)
22:58:41	61460/61460	---MCZ	200	added ('OK')	text/css	etag:W/%220ef6617d4809c7befc7bafe4720a7b96%22	https://learnplus.demo.frontendmatter.com/assets/css/fontawesome.css	C:/Users/Orange/Desktop/AdminDashboad/AdminDashboard/learnplus.demo.frontendmatter.com/assets/css/fontawesome.css	(from https://learnplus.demo.frontendmatter.com/instructor-dashboard.html)
22:58:41	14782/14782	---MCZ	200	added ('OK')	text/css	etag:W/%22315641f20ca718539884495530a364bc%22	https://learnplus.demo.frontendmatter.com/assets/vendor/spinkit.css	C:/Users/Orange/Desktop/AdminDashboad/AdminDashboard/learnplus.demo.frontendmatter.com/assets/vendor/spinkit.css	(from https://learnplus.demo.frontendmatter.com/instructor-dashboard.html)
22:58:41	516389/516389	---MCZ	200	added ('OK')	text/css	etag:W/%22262d2af8ce6ec4ad0b85488bc0d526a3%22	https://learnplus.demo.frontendmatter.com/assets/css/app.css	C:/Users/Orange/Desktop/AdminDashboad/AdminDashboard/learnplus.demo.frontendmatter.com/assets/css/app.css	(from https://learnplus.demo.frontendmatter.com/instructor-dashboard.html)
22:58:41	2955/2955	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2210ece1c35df837fa194f9ec795d2bcdb%22	https://learnplus.demo.frontendmatter.com/assets/images/logo/white.svg	C:/Users/Orange/Desktop/AdminDashboad/AdminDashboard/learnplus.demo.frontendmatter.com/assets/images/logo/white.svg	(from https://learnplus.demo.frontendmatter.com/instructor-dashboard.html)
22:58:42	75629/75629	---MCZ	200	added ('OK')	text/html	etag:W/%224b7cf1f9d43fed00fcd56364fc2294d2%22	https://learnplus.demo.frontendmatter.com/instructor-forum.html	C:/Users/Orange/Desktop/AdminDashboad/AdminDashboard/learnplus.demo.frontendmatter.com/instructor-forum.html	(from https://learnplus.demo.frontendmatter.com/instructor-dashboard.html)
22:58:42	79863/79863	---MCZ	200	added ('OK')	text/html	etag:W/%2238738eff8b386ffc36c49abf839f6cc8%22	https://learnplus.demo.frontendmatter.com/instructor-messages.html	C:/Users/Orange/Desktop/AdminDashboad/AdminDashboard/learnplus.demo.frontendmatter.com/instructor-messages.html	(from https://learnplus.demo.frontendmatter.com/instructor-dashboard.html)
